exonDensity,gc,position
2.76427515314,49.9,8
nan,57.4,16
nan,38.2,8
2.28244956258,49.3,9
2.2954984544,49.7,10
3.73700241571,46.4,10
nan,52.7,9
nan,46.5,9
nan,46.6,10
nan,51.4,7
nan,50.5,8
4.53814796452,47.5,9
2.66812059012,47.8,8
2.96784899398,47.6,9
2.93481434465,44.4,9
1.0,47.4,9
6.0902268915,51.1,13
2.51918549906,52.0,11
2.66571269576,54.3,9
nan,47.4,10
nan,47.3,10
2.58796992481,48.7,9
5.7228231266,58.8,11
3.16883003746,44.5,11
nan,48.1,4
2.66974324551,49.3,9
nan,51.6,9
1.38679800059,32.9,29
3.02633058471,46.4,8
1.05809563758,51.8,7
nan,51.8,7
nan,50.9,9
3.15661538462,50.5,8
nan,51.7,9
3.21927488734,51.2,7
3.06534371231,49.2,9
3.27816566169,48.3,9
3.10169992609,49.1,8
2.92485430938,49.8,10
2.93001210165,49.5,8
3.1097167756,49.4,9
3.38060453401,50.3,8
3.57451940129,50.4,8
3.23172378862,49.9,8
3.43756661474,49.5,9
3.25308988764,50.4,8
3.3451381072,49.1,9
3.22501120574,44.2,9
2.97664172901,48.3,8
3.36712031394,49.5,9
3.1695556733,49.1,9
3.1483113069,50.0,7
3.18239477225,52.9,7
3.18974192501,49.2,8
3.16926217115,50.1,7
3.13100787655,48.0,7
2.97597254005,48.3,8
5.29995456095,48.5,11
2.65663395729,52.4,9
4.7992851251,58.6,9
2.54106097791,49.8,8
2.59195402299,51.1,8
2.48280802292,50.0,8
2.51124063281,50.8,8
nan,56.8,10
1.26503201624,48.1,6
4.25488585011,34.5,39
nan,58.0,16
nan,39.3,20
2.14477313802,54.8,9
2.73224623697,51.5,9
nan,44.6,7
2.76646058733,44.0,7
4.88070631312,50.1,10
5.58235507685,52.4,15
2.63616465009,43.1,8
nan,54.7,8
2.67272727273,48.9,7
3.04335412457,45.8,7
nan,57.0,10
nan,56.4,10
1.33560825798,34.7,19
1.20313506549,45.4,8
1.24105173876,45.3,4
nan,42.9,8
2.49802650127,55.9,22
2.92622728506,37.5,8
nan,34.7,9
nan,36.9,8
nan,50.0,13
nan,56.0,21
5.94948326392,47.5,11
2.31655574043,48.5,8
nan,55.6,9
3.06046040982,47.5,8
nan,49.2,11
2.83531635717,43.5,10
nan,50.7,15
2.17597508317,48.8,9
3.03160944771,44.4,8
5.6727032386,54.7,10
2.54849498328,50.8,8
2.66981132075,50.7,8
2.65724355129,50.0,9
3.25973763875,46.0,10
2.60415464512,50.9,8
2.6450403931,50.5,8
2.63134693878,49.8,8
2.58639677369,50.1,9
1.51476793249,45.2,30
nan,55.0,9
nan,52.6,8
nan,53.0,9
2.74587706147,49.1,9
2.44478110314,55.1,9
nan,50.2,9
nan,53.2,9
nan,53.8,9
2.77677480019,27.7,10
2.98230232181,51.9,9
2.65182690196,51.7,10
6.11467189884,52.4,10
nan,26.6,10
nan,51.7,11
5.40673920674,51.6,10
2.59547943609,50.6,8
5.04858418806,44.1,11
nan,53.1,10
2.99160708735,51.4,9
4.35481550744,41.1,23
nan,48.2,9
6.47042471042,48.5,9
6.24806415929,52.9,14
2.71340139883,49.3,8
1.34564425306,44.5,11
5.16915351506,51.9,11
4.83304042179,52.2,9
5.80154110993,54.9,10
2.88552761121,45.0,9
1.07445790816,36.3,9
nan,52.2,7
1.35982966643,39.9,19
2.92822731295,48.5,9
5.08738296924,44.4,11
5.84182262002,55.6,11
2.45546232048,52.8,8
5.356721846,56.9,6
2.16710360229,52.7,9
2.30023847377,53.1,8
2.70500424088,47.9,7
nan,53.4,9
1.00751503006,47.3,18
1.01949106659,43.4,16
1.00763775232,41.5,23
nan,52.2,8
nan,50.7,14
2.90783055199,46.6,8
2.79203005501,43.5,23
6.48941913194,51.2,10
4.6346749226,51.7,11
5.72207399502,50.2,10
6.06176652254,40.8,10
5.56283759453,55.7,10
2.81609367963,48.3,9
2.70369324599,48.4,8
nan,48.4,9
nan,48.7,8
5.82261812548,55.7,10
2.96843231675,45.8,7
2.82626608354,51.8,8
2.78714097497,52.4,9
3.46331153821,27.7,16
3.14308592118,48.3,8
6.14443694074,53.2,10
2.85454764196,53.4,7
nan,45.5,10
3.1175049418,51.2,9
5.50876710823,49.5,10
2.99294406381,51.6,8
5.26055220565,45.1,12
5.75362934035,49.0,3
1.20262700406,47.9,5
1.20333333333,26.7,19
5.24177610194,48.4,10
nan,46.3,39
4.57059509918,52.2,9
3.30764241704,46.2,9
nan,43.4,7
5.83534287867,50.8,10
nan,47.9,12
2.83572404372,45.8,9
2.90331266319,40.5,8
2.8560476307,40.1,8
1.21615320566,35.0,10
5.28742113785,51.0,10
2.81074157303,51.1,9
5.53255374871,49.8,11
nan,59.4,25
2.70677391478,47.6,8
nan,36.3,17
4.49416120763,46.9,10
5.71990707129,51.5,10
nan,56.4,10
2.68868713415,48.0,8
nan,56.1,11
2.82308124148,45.2,8
3.01636625811,46.2,8
nan,35.1,8
5.88692797045,51.7,10
nan,41.9,8
nan,43.5,11
2.84643554688,46.9,8
nan,52.3,7
nan,55.4,10
2.74418316832,50.8,8
2.87942981588,50.1,9
nan,54.3,10
nan,45.8,7
2.49042766713,52.6,8
5.38883614961,48.2,10
2.504201072,52.3,8
2.77772751945,51.6,15
nan,57.0,16
nan,52.1,9
1.98208700597,59.1,30
nan,42.9,9
nan,46.6,11
nan,55.9,37
nan,49.7,8
nan,43.1,20
2.95633492669,38.6,9
nan,40.9,19
4.91610718317,41.0,20
2.76651344374,50.7,9
2.6794548511,48.0,10
3.03781450782,47.6,7
2.69540054828,49.9,9
1.26610835755,47.9,7
3.20931015143,47.5,9
nan,56.2,9
4.54483557873,55.5,11
3.30906104572,45.3,12
3.19477461314,49.0,9
3.13098445596,48.9,9
3.45896551724,47.2,10
3.34407861793,48.1,30
nan,42.2,12
nan,52.9,10
2.37033224146,52.2,8
nan,50.5,9
1.56655471098,39.3,9
5.33639788998,49.3,19
nan,50.8,9
2.97751297328,49.4,9
5.71330902461,50.9,10
3.16013891569,56.8,9
2.85526193788,48.3,10
2.62998831191,48.9,9
nan,49.5,9
nan,54.7,9
1.00291262136,25.3,18
6.02294411631,53.6,11
2.97150212537,47.1,9
7.32101333986,47.4,11
nan,50.7,10
2.59443439196,51.7,8
2.25934263845,53.4,7
nan,17.0,4
1.32881057269,29.9,15
nan,50.1,11
nan,53.4,9
3.48527171153,44.5,11
nan,53.4,7
nan,50.0,10
4.98536286732,50.2,12
3.81250849762,48.0,9
3.16095120713,46.6,8
2.98221372924,47.0,8
3.02179372924,49.3,8
3.11564570874,49.1,8
3.11626886627,48.8,8
3.07197717797,49.0,9
3.19420682646,47.4,8
3.12371681416,48.5,9
3.04591174562,48.3,9
3.06678789883,51.0,9
3.09590577678,48.7,9
3.10819845179,46.6,9
nan,47.2,9
2.78028073353,49.7,9
5.36406687235,53.1,11
5.41118953095,56.8,11
nan,47.6,7
5.66147186147,52.0,10
5.99756118072,54.8,9
2.66772655008,51.4,8
nan,35.8,18
nan,53.1,9
1.22899386946,45.1,35
1.11349206349,41.1,8
1.44480799036,41.1,8
4.75040541167,46.3,13
3.08772528673,21.8,39
4.04130269654,49.0,11
4.10774855733,48.9,9
nan,57.3,8
nan,50.9,12
nan,50.9,12
2.80995106036,47.4,9
5.84331425216,53.7,11
5.27047075606,57.0,11
nan,57.1,10
2.12048762049,51.5,10
nan,53.3,8
6.23211865083,53.8,11
1.72469879518,61.1,21
1.46587259101,56.5,34
nan,47.5,8
nan,44.4,23
6.22664239903,55.2,10
nan,56.6,11
5.82911392405,56.5,11
nan,56.6,11
2.68579337174,47.8,8
nan,51.2,8
nan,51.0,8
2.50411051784,50.9,8
nan,49.0,7
4.53439692238,36.9,10
nan,41.5,8
nan,51.0,9
nan,37.4,10
nan,35.6,36
5.83466385169,48.1,12
5.57764876633,48.2,12
6.23822600577,67.8,19
nan,60.6,19
nan,62.0,15
nan,47.9,8
4.97657239341,54.3,10
4.24771653543,34.8,23
1.0433460076,38.3,3
1.08670907265,38.2,10
1.08622994652,38.3,33
1.08862456023,38.2,36
1.08983135749,38.2,19
1.1971971972,38.2,12
3.0785141867,53.7,9
2.23173158942,52.6,11
nan,51.7,7
5.27317850358,57.5,9
5.55058942648,57.5,9
5.26975458912,57.5,10
2.14845559846,37.7,8
2.10455104551,43.8,7
2.1097071801,37.5,8
5.77979880688,49.4,10
2.03330736268,36.0,8
4.32814582144,48.6,9
2.79721436944,41.8,9
4.94390020899,48.9,11
2.43574709274,51.1,8
2.53013656433,50.3,9
nan,58.1,12
nan,45.3,11
5.73156618969,45.3,11
5.44114451286,44.5,11
nan,52.0,7
5.95458715596,49.2,8
5.70344878084,49.3,10
nan,48.9,10
nan,37.4,9
4.66689346261,44.4,10
1.46058965102,59.9,25
2.82843029638,51.5,10
2.66510500808,50.4,7
nan,51.8,7
6.51620238772,51.3,14
4.5427782479,48.1,11
nan,47.9,10
nan,46.4,9
nan,43.7,9
3.3043312345,51.6,8
3.16140251927,46.7,8
3.29293691518,46.1,9
1.64200477327,49.6,5
nan,45.4,10
nan,52.2,8
nan,56.4,36
nan,50.9,9
nan,51.3,9
2.76846424385,55.8,9
2.80445499361,54.8,9
2.72543658494,57.7,9
2.85509018649,54.7,10
nan,53.7,10
3.32334801762,56.0,21
nan,67.6,11
nan,42.0,24
nan,58.0,8
nan,46.5,8
nan,52.2,12
5.71836115326,57.6,11
5.81470341354,57.7,10
nan,46.7,6
2.71882584075,51.4,9
nan,48.2,12
2.68496742412,47.3,9
2.68496742412,49.7,10
nan,56.6,7
nan,55.5,7
3.10300914039,52.4,11
nan,47.8,8
2.70322809507,47.6,10
4.03189862355,45.4,11
3.72242249459,60.8,3
nan,47.7,8
3.05643661818,52.8,12
2.88286642306,53.6,10
3.09819685311,48.3,9
5.54962779156,39.7,14
2.57178464606,48.2,10
2.9330490062,49.2,10
2.83268679373,48.9,8
3.87153148346,44.9,24
4.64642148634,51.4,13
4.74685328769,43.2,15
3.08976660682,48.7,9
nan,54.3,11
nan,53.0,11
nan,46.1,9
nan,47.6,8
2.81997847569,56.1,8
2.81775035596,55.9,8
2.83743089904,41.2,9
2.83743089904,48.8,10
3.41887723627,45.3,8
4.03330809992,40.0,8
1.42425657792,34.6,10
3.23630947835,45.8,7
6.30817511376,52.2,10
nan,49.9,8
1.16643400031,49.1,3
2.50396503278,53.4,8
2.76516336861,33.4,7
